epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2875.29,0.74549,0.45643,0.86052,0.97641,0.93445,0.98722,0.79053,0.75852,0.4706,0.88609,0.00125891,0.00125891,0.00125891
133,2896.92,0.73979,0.46131,0.85088,0.96672,0.91798,0.98392,0.79792,0.75177,0.49149,0.87969,0.00125326,0.00125326,0.00125326
134,2918.59,0.75789,0.46037,0.85784,0.93657,0.94357,0.9816,0.79389,0.75514,0.48398,0.8811,0.0012476,0.0012476,0.0012476
135,2940.28,0.77887,0.469,0.86208,0.94385,0.9526,0.98473,0.79484,0.75345,0.50737,0.8855,0.00124194,0.00124194,0.00124194
136,2961.97,0.7399,0.45537,0.8576,0.94013,0.93454,0.98152,0.79719,0.73048,0.47372,0.87825,0.00123629,0.00123629,0.00123629
137,2983.66,0.74197,0.46945,0.86105,0.96213,0.94357,0.98572,0.80494,0.72575,0.45946,0.87972,0.00123063,0.00123063,0.00123063
138,3005.37,0.7463,0.45831,0.86731,0.94493,0.90971,0.97968,0.79583,0.74842,0.49313,0.88272,0.00122497,0.00122497,0.00122497
139,3027.02,0.73961,0.45886,0.86092,0.96017,0.92518,0.9831,0.80286,0.72562,0.47729,0.88158,0.00121931,0.00121931,0.00121931
140,3048.65,0.73861,0.45624,0.86613,0.95674,0.93454,0.98637,0.80576,0.72869,0.48619,0.88005,0.00121366,0.00121366,0.00121366
141,3070.29,0.75153,0.46402,0.85619,0.94012,0.94131,0.98275,0.80133,0.73515,0.49155,0.87904,0.001208,0.001208,0.001208
142,3091.96,0.72188,0.44468,0.85356,0.96734,0.94808,0.98706,0.81293,0.71283,0.45707,0.87703,0.00120234,0.00120234,0.00120234
143,3113.66,0.72459,0.44189,0.86418,0.9419,0.95152,0.98555,0.80779,0.7387,0.48307,0.87757,0.00119669,0.00119669,0.00119669
144,3135.32,0.73868,0.45157,0.85186,0.9633,0.94793,0.98641,0.80613,0.73699,0.4752,0.87847,0.00119103,0.00119103,0.00119103
145,3156.99,0.74183,0.454,0.85998,0.9483,0.95711,0.98363,0.80558,0.74026,0.48177,0.87838,0.00118537,0.00118537,0.00118537
146,3178.67,0.73079,0.44612,0.85344,0.96783,0.95068,0.98824,0.81217,0.71611,0.46036,0.87571,0.00117971,0.00117971,0.00117971
147,3200.31,0.73439,0.45252,0.86259,0.95244,0.94935,0.98503,0.80134,0.7328,0.4742,0.87941,0.00117406,0.00117406,0.00117406
148,3221.99,0.72212,0.44833,0.85178,0.94194,0.95218,0.98435,0.811,0.69841,0.45347,0.87336,0.0011684,0.0011684,0.0011684
149,3243.68,0.71911,0.45354,0.85637,0.95906,0.95188,0.98635,0.80686,0.71931,0.46588,0.87528,0.00116274,0.00116274,0.00116274
150,3265.34,0.72906,0.44962,0.86402,0.94622,0.93454,0.98372,0.80102,0.71567,0.45683,0.87103,0.00115709,0.00115709,0.00115709
151,3287.03,0.73969,0.45647,0.85786,0.93928,0.94275,0.98265,0.79878,0.72717,0.48748,0.87687,0.00115143,0.00115143,0.00115143
152,3308.74,0.73161,0.45168,0.85636,0.95765,0.96997,0.98614,0.80759,0.72359,0.45874,0.87073,0.00114577,0.00114577,0.00114577
153,3330.42,0.72391,0.44471,0.84967,0.93247,0.96634,0.98575,0.79907,0.74212,0.46419,0.87331,0.00114011,0.00114011,0.00114011
154,3352.06,0.72892,0.43941,0.85936,0.94501,0.93106,0.98105,0.79824,0.72958,0.49069,0.87913,0.00113446,0.00113446,0.00113446
155,3373.74,0.7291,0.45323,0.85793,0.92871,0.9684,0.98215,0.80214,0.711,0.46494,0.86999,0.0011288,0.0011288,0.0011288
156,3395.44,0.72818,0.44431,0.85695,0.92732,0.95711,0.98438,0.81153,0.72252,0.4773,0.87052,0.00112314,0.00112314,0.00112314
157,3417.15,0.73702,0.45308,0.85802,0.94406,0.96388,0.98571,0.79856,0.75085,0.47587,0.87597,0.00111749,0.00111749,0.00111749
158,3438.83,0.74632,0.44643,0.8572,0.95379,0.93187,0.98043,0.79906,0.72398,0.5106,0.87267,0.00111183,0.00111183,0.00111183
159,3460.5,0.73397,0.43738,0.84967,0.9647,0.92536,0.98524,0.80316,0.71654,0.47807,0.86897,0.00110617,0.00110617,0.00110617
160,3482.17,0.71741,0.43315,0.84739,0.96417,0.9526,0.98736,0.81487,0.7196,0.46252,0.87015,0.00110051,0.00110051,0.00110051
161,3503.83,0.73062,0.44058,0.84552,0.9235,0.95711,0.98304,0.80875,0.72,0.4831,0.87199,0.00109486,0.00109486,0.00109486
162,3525.48,0.72698,0.44522,0.84759,0.94822,0.95069,0.98623,0.80232,0.73662,0.46801,0.87328,0.0010892,0.0010892,0.0010892
