epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,4574.52,0.68113,0.38244,0.8461,0.9726,0.95485,0.98988,0.82879,0.68643,0.37144,0.86229,0.00104394,0.00104394,0.00104394
171,4601.35,0.66499,0.38716,0.83811,0.97031,0.95896,0.98752,0.81739,0.70966,0.38996,0.86902,0.00103829,0.00103829,0.00103829
172,4628.17,0.66106,0.37237,0.8481,0.96748,0.97968,0.9903,0.81541,0.70385,0.37973,0.86224,0.00103263,0.00103263,0.00103263
173,4655.01,0.68692,0.39195,0.84896,0.95601,0.96614,0.98762,0.82803,0.70141,0.38461,0.8617,0.00102697,0.00102697,0.00102697
174,4681.83,0.66295,0.36925,0.84842,0.96384,0.96278,0.98624,0.81953,0.69181,0.37719,0.86353,0.00102131,0.00102131,0.00102131
175,4708.61,0.66557,0.3778,0.84401,0.96403,0.96614,0.98647,0.82593,0.7011,0.38243,0.86378,0.00101566,0.00101566,0.00101566
176,4735.4,0.66444,0.36523,0.8397,0.97927,0.95968,0.98821,0.82854,0.67838,0.37147,0.86275,0.00101,0.00101,0.00101
177,4762.22,0.67416,0.37306,0.8469,0.96219,0.97657,0.98632,0.82869,0.69126,0.36998,0.86425,0.00100434,0.00100434,0.00100434
178,4789.01,0.67793,0.37254,0.84024,0.95937,0.97743,0.98715,0.82367,0.69163,0.37146,0.86505,0.000998686,0.000998686,0.000998686
179,4815.88,0.66981,0.37042,0.84072,0.96424,0.97395,0.98864,0.83001,0.69665,0.36627,0.86297,0.000993029,0.000993029,0.000993029
180,4842.7,0.66103,0.37046,0.83593,0.9676,0.97517,0.98664,0.82149,0.69451,0.36619,0.8662,0.000987371,0.000987371,0.000987371
181,4869.48,0.68078,0.3636,0.8439,0.95978,0.97517,0.98836,0.82942,0.68815,0.37552,0.86633,0.000981714,0.000981714,0.000981714
